"PO_BLANKET_ID","PO_RELEASE_ID","LINE_ID","SHIPMENT_ID","CATEGORY_ID","CANCEL_FLAG","UOM","AMOUNT","QTY","GEOGRAPHY_ID","CONTRACT_ID","CONTRACT_LINE_ID","ORIGINAL_DUE_DATE","LATEST_DUE_DATE","SHIPMENT_LINE"
32839,58999,117972,117972,30,"N","Each",17649.26,118,209,32839,38307,09/FEB/05,09/FEB/05,1
32839,58999,117973,117973,30,"N","Each",14777.49,91,209,32839,38308,08/FEB/05,08/FEB/05,2
32840,59000,117974,117974,114,"N","Each",1065.6,185,209,32840,38309,09/FEB/05,09/FEB/05,1
32840,59000,117975,117975,32,"N","Each",1555.19,91,209,32840,38314,08/FEB/05,08/FEB/05,2
32840,59000,117976,117976,114,"N","Each",2333.24,91,209,32840,38315,08/FEB/05,08/FEB/05,3
32841,58992,117961,117961,32,"N","Each",2016.62,118,209,32841,38321,09/FEB/05,09/FEB/05,1
32843,58994,117963,117963,114,"N","Each",2521.66,118,209,32843,38339,09/FEB/05,09/FEB/05,1
32845,58995,117964,117964,34,"N","Each",3025.52,118,209,32845,38354,09/FEB/05,09/FEB/05,1
32984,58996,117965,117965,91,"N","Each",42,20,209,32984,38529,07/FEB/05,07/FEB/05,1
32841,59001,117977,117977,114,"N","Each",29752.52,118,209,32841,38320,09/FEB/05,09/FEB/05,1
32843,59003,117979,117979,114,"N","Each",18321.94,91,209,32843,38332,08/FEB/05,08/FEB/05,1
32843,59003,117980,117980,114,"N","Each",1944.67,91,209,32843,38333,08/FEB/05,08/FEB/05,2
32843,59003,117981,117981,111,"N","Each",2721.81,91,209,32843,38334,08/FEB/05,08/FEB/05,3
32844,59004,117982,117982,32,"N","Each",14466.27,91,209,32844,38346,08/FEB/05,08/FEB/05,1
32844,59004,117983,117983,114,"N","Each",155.61,91,209,32844,38347,08/FEB/05,08/FEB/05,2
32844,59004,117984,117984,34,"N","Each",3499.86,91,209,32844,38348,08/FEB/05,08/FEB/05,3
32845,59005,117985,117985,114,"N","Each",201.78,118,209,32845,38353,09/FEB/05,09/FEB/05,1
32984,59006,117986,117986,91,"N","Each",22947.4,74,209,32984,38530,02/FEB/05,02/FEB/05,1
32984,59006,117987,117987,91,"N","Each",29650.5,30,209,32984,38531,02/FEB/05,02/FEB/05,2
32840,59017,118018,118018,114,"N","Each",184.32,32,207,32840,38309,03/FEB/05,03/FEB/05,1
32840,59017,118019,118019,114,"N","Each",247.68,43,207,32840,38309,04/FEB/05,04/FEB/05,2
32840,59017,118020,118020,114,"N","Each",1816.45,85,207,32840,38310,09/FEB/05,09/FEB/05,3
32840,59017,118021,118021,114,"N","Each",1816.45,85,207,32840,38311,09/FEB/05,09/FEB/05,4
32844,59019,118030,118030,114,"N","Each",13.76,32,207,32844,38340,03/FEB/05,03/FEB/05,1
32844,59019,118031,118031,114,"N","Each",18.49,43,207,32844,38340,04/FEB/05,04/FEB/05,2
32844,59019,118032,118032,114,"N","Each",97.75,85,207,32844,38341,09/FEB/05,09/FEB/05,3
32844,59019,118033,118033,114,"N","Each",97.75,85,207,32844,38342,09/FEB/05,09/FEB/05,4
32984,59020,118034,118034,91,"N","Each",13644.4,44,207,32984,38530,02/FEB/05,02/FEB/05,1
32984,59020,118035,118035,91,"N","Each",14825.25,15,207,32984,38531,02/FEB/05,02/FEB/05,2
32984,59023,118042,118042,91,"N","Each",10.5,5,209,32984,38529,07/FEB/05,07/FEB/05,1
32839,58930,117793,117793,30,"N","Each",29487.15,345,209,32839,38305,08/FEB/05,08/FEB/05,1
32840,58931,117794,117794,114,"N","Each",604.8,105,209,32840,38309,07/FEB/05,07/FEB/05,1
32840,58931,117795,117795,114,"N","Each",27627.6,345,209,32840,38316,08/FEB/05,08/FEB/05,2
